Wiek,Płeć,id_response,cechynieodzowne - zabawki vs książka wartosc,cechynieodzowne - zabawki vs książka rozstep,informacyjnosc - ssak vs Polak wartosc,informacyjnosc - ssak vs Polak rozstep,istota - Pies vs butelka wartosc,istota - Pies vs butelka rozstep,jednorodnosc - kamienie szlachetne vs krzesła wartosc,jednorodnosc - kamienie szlachetne vs krzesła rozstep,nieodwracalnosc - zwierzęta vs uczeń wartosc,nieodwracalnosc - zwierzęta vs uczeń rozstep,odrebnosc - drewno vs miękkie wartosc,odrebnosc - drewno vs miękkie rozstep,stabilnosc - owoce vs pieniądze wartosc,stabilnosc - owoce vs pieniądze rozstep
46,0,218,4.5,5,2.75,5,7.75,1,7.25,2,7.5,2,6.0,6,4.5,7
16,1,186,4.75,8,7.0,6,6.0,4,3.5,4,4.75,10,8.0,5,6.0,8
15,0,187,5.0,7,5.5,10,5.25,7,5.75,6,6.75,7,7.5,6,4.25,7
17,1,73,4.0,9,1.0,0,0.75,3,6.5,2,7.5,10,5.5,8,6.25,10
17,1,74,5.5,7,9.25,2,7.25,2,8.75,3,4.5,8,7.0,9,5.25,8
27,0,153,4.5,7,2.5,10,6.0,7,3.75,8,10.0,0,10.0,0,5.25,9
27,1,154,4.25,6,4.5,7,6.0,6,2.75,5,6.25,6,6.5,5,5.25,7
36,1,119,7.0,9,4.75,7,2.5,10,10.0,0,10.0,0,4.5,8,10.0,0
15,0,120,6.0,6,5.0,3,6.25,3,6.0,4,6.25,6,7.0,4,3.0,5
15,0,155,5.25,3,5.75,2,5.0,0,6.5,2,5.75,2,6.25,5,5.0,0
15,0,156,6.0,2,8.25,3,7.25,1,5.25,5,5.75,7,5.5,5,5.75,9
17,1,75,4.75,4,5.75,7,5.0,4,6.75,5,6.75,7,5.5,6,4.0,6
17,1,76,4.0,10,1.0,4,10.0,0,7.25,7,9.5,2,7.75,5,10.0,0
17,1,96,6.75,6,3.75,3,8.0,2,7.25,3,7.25,3,8.0,2,6.0,3
17,1,97,5.25,5,4.25,5,5.0,4,4.75,5,5.0,6,4.25,6,4.5,6
37,1,122,4.0,5,6.5,1,6.5,2,4.5,3,6.0,0,7.5,6,3.0,7
40,1,123,5.0,10,7.5,10,5.0,10,5.0,10,10.0,0,9.25,2,2.5,10
58,1,98,5.5,10,6.25,10,4.75,5,5.0,10,5.0,10,7.5,10,8.0,2
62,1,99,4.75,8,3.25,7,8.5,1,8.5,3,2.75,8,9.0,2,9.25,1
51,0,105,4.25,6,5.0,4,7.0,3,6.0,4,9.25,2,6.25,5,2.75,1
28,0,188,6.0,6,3.5,6,6.75,2,5.5,2,9.25,3,6.5,3,7.0,6
43,0,124,6.75,7,7.5,8,8.0,0,7.25,3,7.5,8,6.25,7,9.0,0
38,1,133,3.0,0,4.0,3,7.75,2,7.25,1,7.25,1,6.0,6,2.75,1
34,0,189,4.5,7,5.5,7,3.5,8,5.75,8,6.5,5,7.0,8,5.0,8
17,0,160,5.75,6,6.75,5,6.0,3,5.75,5,7.0,2,7.5,3,7.75,4
64,1,127,3.5,1,3.75,3,5.5,3,3.75,3,5.5,4,7.0,2,3.75,1
69,0,126,3.25,5,3.25,2,7.5,1,7.0,0,6.75,5,8.5,1,1.5,3
41,0,52,3.25,8,3.75,6,4.75,5,7.0,3,6.0,7,6.25,7,1.75,6
35,0,157,6.0,4,2.5,1,4.0,5,4.75,6,3.75,3,5.0,6,4.5,2
25,0,159,4.75,7,4.5,7,8.0,8,7.25,8,7.5,8,6.5,6,5.0,6
29,1,77,5.75,8,4.5,5,4.75,7,7.5,6,4.75,8,7.5,3,5.25,6
29,0,78,2.75,2,0.5,2,5.25,5,5.5,6,6.25,5,6.75,9,1.0,2
31,0,158,4.0,7,5.75,7,6.75,3,6.0,7,9.5,2,6.75,3,0.5,2
37,1,128,3.0,5,3.5,2,5.75,7,6.5,8,3.75,4,8.25,4,8.75,5
14,0,163,5.25,7,5.75,5,7.5,5,6.75,3,7.75,5,7.75,4,1.5,4
14,0,162,4.75,5,5.75,6,4.25,8,6.0,3,3.75,7,6.25,6,4.75,5
20,1,190,6.75,10,5.25,9,5.5,8,7.0,8,7.25,7,7.5,8,2.5,6
29,0,192,5.0,10,6.0,8,7.5,10,8.0,8,5.0,10,8.0,8,2.5,10
32,1,191,4.75,8,8.25,6,2.75,6,6.25,6,5.0,10,8.0,6,4.75,9
17,0,164,4.0,6,3.25,3,5.5,4,6.25,4,7.0,2,7.75,3,6.0,3
53,1,100,5.0,2,5.0,2,5.0,2,5.5,3,3.75,1,5.75,5,5.5,3
34,1,128,3.0,0,6.0,2,10.0,0,6.5,2,7.25,1,5.75,3,4.5,8
17,0,79,5.0,7,5.75,6,6.25,4,7.25,4,6.75,7,6.5,4,5.5,6
26,1,194,5.0,6,5.25,4,4.5,6,5.75,5,4.5,6,8.0,4,2.5,1
26,0,193,6.25,1,2.75,3,4.75,3,5.75,3,5.25,6,6.75,5,3.25,2
41,1,165,5.5,4,6.5,1,6.75,1,6.25,1,6.0,0,8.75,3,2.75,1
24,0,195,1.25,2,3.0,5,9.25,2,6.25,7,7.25,10,8.75,3,8.0,0
25,1,196,1.25,2,5.75,7,7.5,10,4.25,6,4.0,8,7.25,3,1.25,5
49,0,106,7.75,1,4.75,5,6.5,6,6.5,3,8.25,1,5.25,6,1.0,0
61,0,107,6.25,5,4.75,5,5.0,0,3.25,5,6.75,7,5.5,6,2.0,2
15,1,53,4.75,5,5.5,4,6.25,7,6.25,4,7.25,2,8.0,6,6.0,6
15,1,54,4.0,10,6.25,6,6.0,6,8.75,3,6.25,10,7.75,5,8.25,4
15,0,55,6.25,7,4.5,10,7.5,10,9.75,1,10.0,0,4.75,9,2.25,9
26,1,80,8.5,4,0.0,0,0.0,0,5.5,2,10.0,0,4.25,6,0.75,1
35,1,197,6.25,5,6.0,5,7.75,1,6.0,4,8.25,1,8.25,2,2.75,7
56,1,81,5.75,4,3.25,6,3.75,2,4.25,4,7.0,2,4.75,5,5.5,4
37,0,198,4.25,6,6.75,5,4.0,4,7.5,1,5.0,6,5.5,6,5.75,6
18,1,171,5.0,6,7.5,3,9.0,0,6.25,4,6.75,8,7.0,6,1.5,2
37,0,199,4.25,4,4.25,5,5.75,4,5.75,6,5.25,4,7.25,8,3.0,4
33,1,200,4.75,4,5.75,4,5.25,4,6.25,7,5.0,4,7.0,8,2.75,7
18,0,172,6.25,7,7.0,7,6.0,8,5.25,5,4.75,5,8.5,3,4.25,6
33,0,107,2.75,3,4.25,5,7.75,2,5.0,4,9.5,2,8.25,7,9.5,2
61,0,82,3.5,1,4.25,4,4.75,4,6.75,2,7.25,1,3.75,3,7.25,1
15,1,56,5.0,10,7.25,7,9.25,3,5.5,4,8.5,3,6.25,10,5.0,10
30,0,110,4.5,5,5.25,6,5.75,6,6.0,2,8.75,5,8.25,3,4.75,7
43,1,166,4.25,8,5.5,9,7.5,6,5.0,8,8.75,3,8.25,6,4.75,9
15,1,173,5.25,7,5.0,6,6.0,7,4.25,8,3.75,8,6.75,2,5.25,7
15,1,174,4.5,3,5.25,6,7.0,2,6.0,3,4.75,6,5.25,4,6.0,4
47,0,201,4.5,7,6.5,4,9.25,2,7.0,7,6.75,5,7.5,4,8.5,2
30,0,111,6.75,9,5.75,4,5.0,5,5.25,7,5.5,5,8.75,3,8.0,8
26,1,219,5.0,8,4.0,3,10.0,0,10.0,0,4.75,8,7.5,7,7.25,9
29,0,220,4.25,8,3.0,8,5.25,7,3.25,4,6.5,7,5.75,7,7.5,9
38,0,221,4.0,2,5.5,4,8.25,2,5.0,2,9.75,1,8.0,5,7.75,4
38,1,222,5.0,0,4.5,5,5.0,0,6.25,3,7.0,3,5.75,3,5.0,0
40,1,202,9.0,0,5.0,2,1.0,0,8.5,2,10.0,0,7.25,3,1.75,2
29,1,175,3.5,2,9.5,2,7.25,1,7.75,2,3.75,6,8.25,5,6.0,7
33,0,223,6.5,5,7.5,1,6.5,7,2.0,2,8.0,2,7.5,5,8.0,2
39,0,57,2.5,10,7.75,6,10.0,0,8.25,7,5.75,10,7.5,10,7.5,10
39,1,58,5.5,5,5.75,5,7.0,6,5.0,4,7.5,3,8.5,2,6.25,6
49,0,224,5.0,0,5.0,2,8.5,1,8.0,3,6.75,4,7.75,2,4.75,3
24,1,225,6.5,4,5.25,4,3.0,6,2.25,3,9.0,2,8.75,4,5.5,7
52,1,226,4.5,2,2.75,2,6.5,1,5.75,2,5.5,3,6.0,4,5.75,3
30,1,101,5.25,10,4.75,10,3.25,4,6.75,8,7.5,10,5.25,10,3.5,8
21,1,126,4.0,2,7.5,1,6.25,3,7.75,3,7.75,3,6.25,8,7.25,3
35,1,227,4.0,3,4.25,3,6.25,1,7.0,0,6.25,7,5.25,7,7.5,1
34,0,228,3.75,5,7.5,4,3.25,5,7.25,7,6.75,7,8.0,2,8.25,1
23,1,59,3.75,8,4.5,5,6.25,8,7.0,6,3.5,10,5.5,7,7.0,9
27,0,60,4.75,5,5.25,7,7.25,7,4.75,6,7.25,4,7.25,3,4.5,5
29,1,61,5.0,6,5.5,7,4.5,8,5.25,3,7.75,7,6.25,3,5.0,8
42,1,176,2.5,7,6.0,8,5.0,6,6.75,9,3.25,7,6.0,6,4.75,9
29,0,177,5.5,6,4.5,5,5.0,8,5.75,6,8.0,4,5.25,8,4.5,7
21,1,178,4.75,8,4.0,3,6.25,2,9.0,3,7.5,9,8.0,4,6.5,3
25,0,179,5.25,4,5.25,2,4.75,7,6.75,7,5.5,4,5.75,10,4.75,10
37,1,229,2.25,2,6.5,3,5.5,7,5.25,5,4.75,9,8.25,6,1.0,2
17,0,83,4.0,4,7.0,3,7.5,4,6.0,4,7.75,1,4.5,4,2.5,7
17,1,84,4.25,9,5.25,7,6.0,8,5.0,8,7.0,8,8.0,4,2.0,6
33,0,130,6.0,9,6.5,3,6.5,3,8.75,3,7.5,10,8.0,5,9.5,2
18,1,230,6.0,6,7.0,7,6.5,6,5.5,7,7.25,6,7.25,8,4.25,8
28,1,291,5.0,6,7.0,6,5.0,0,7.5,4,6.5,7,7.0,5,1.0,0
39,0,203,2.25,1,3.75,5,7.0,0,5.75,5,7.75,1,7.75,1,7.75,1
35,1,204,3.5,6,5.25,5,2.0,0,5.0,6,5.5,7,4.75,6,4.75,5
26,1,180,4.25,4,6.25,1,6.0,5,5.75,4,5.25,4,6.75,5,6.25,1
21,1,292,4.75,6,3.5,7,5.25,5,6.5,6,4.75,8,5.25,7,5.5,7
37,1,206,3.75,7,1.75,3,9.5,2,6.0,3,10.0,0,7.0,6,5.75,10
38,1,205,2.0,0,5.75,5,7.75,1,8.5,3,8.25,1,6.0,9,0.75,1
36,0,112,0.0,0,4.0,5,0.25,1,7.75,1,10.0,0,8.5,4,5.0,9
14,1,293,4.25,10,4.5,5,5.75,3,7.25,6,6.5,4,7.0,2,5.5,2
76,0,62,4.5,7,4.75,9,7.5,6,7.0,8,7.25,10,4.75,9,2.5,9
47,1,63,2.0,0,7.75,4,5.5,8,8.25,3,5.0,10,7.0,7,4.5,10
35,1,207,7.5,5,3.25,4,9.25,2,7.5,3,7.75,2,8.75,3,8.25,1
38,1,129,5.0,6,7.0,3,2.5,5,6.25,7,8.25,2,7.5,8,0.0,0
28,0,234,1.75,7,7.0,6,7.75,3,7.25,8,4.5,8,8.5,3,6.25,6
29,0,113,1.75,2,8.5,4,8.75,1,8.75,3,4.5,7,8.25,3,3.0,7
20,1,235,4.5,5,4.5,5,6.0,4,5.25,3,5.75,6,5.25,5,4.75,9
21,1,236,4.75,1,6.0,3,5.75,3,6.25,3,5.75,2,7.25,4,4.75,5
29,0,237,4.5,4,3.25,5,9.0,0,6.25,4,7.0,6,7.25,4,6.5,2
45,1,85,7.5,10,0.0,0,9.5,2,5.0,8,9.25,3,5.25,8,10.0,0
52,1,86,2.75,1,4.75,1,6.0,0,5.25,2,5.5,2,5.5,4,4.75,2
35,1,87,10.0,0,1.0,2,3.75,7,5.5,3,6.5,3,5.0,3,5.25,3
32,0,181,5.0,4,4.75,3,7.25,2,5.0,3,4.25,5,6.0,3,5.0,2
25,0,182,6.0,6,1.0,4,5.0,4,4.5,4,8.75,5,6.75,5,4.5,6
32,1,131,7.25,1,6.0,4,7.0,2,7.75,4,6.75,5,9.0,2,7.5,3
50,1,114,4.5,2,5.75,3,6.25,1,5.5,2,6.0,2,5.0,2,6.0,3
29,1,208,3.75,4,5.25,4,5.5,7,5.0,6,6.5,10,5.25,8,3.25,8
63,0,132,4.5,5,6.75,6,6.0,5,4.5,6,4.75,6,8.0,6,0.25,1
28,1,64,5.0,4,6.25,5,5.5,5,7.25,5,5.0,4,4.25,5,6.0,4
46,0,183,6.25,3,3.5,4,5.5,4,5.5,7,3.75,3,6.0,7,3.0,3
44,1,184,4.5,7,5.75,3,6.75,7,6.0,0,4.75,5,5.25,5,6.25,5
16,0,185,5.75,4,4.5,5,6.5,5,6.0,8,5.0,4,5.5,5,3.5,7
29,0,238,5.0,0,4.5,5,5.0,0,6.75,5,7.0,5,7.5,6,5.0,0
14,1,167,4.5,7,6.0,6,6.0,8,7.75,9,5.0,7,6.75,8,2.25,7
48,1,168,2.75,1,3.5,3,7.25,1,5.5,1,7.25,2,8.0,4,1.0,3
21,0,239,1.75,1,8.0,5,6.25,8,8.75,3,7.0,7,9.75,1,6.5,9
56,0,209,5.0,6,3.0,8,8.0,4,7.0,6,3.0,6,4.25,7,1.0,0
23,1,65,3.75,1,3.0,5,6.5,6,7.75,3,8.75,3,6.75,8,6.25,7
54,1,210,6.0,5,2.75,5,2.0,2,5.5,5,6.0,7,6.75,5,8.0,2
17,0,1234,4.75,6,5.5,4,3.75,5,7.25,4,6.75,4,6.5,7,4.5,5
24,0,134,4.25,7,3.75,5,6.25,4,2.25,1,7.0,2,6.75,8,5.25,6
23,0,135,3.0,0,4.25,4,6.75,1,6.75,2,4.75,4,6.25,7,5.5,6
46,1,239,6.5,8,3.5,8,8.75,1,7.0,6,7.25,9,6.0,5,0.5,1
31,1,88,3.5,6,4.0,5,1.75,1,6.0,4,6.0,6,7.25,3,6.25,7
45,1,169,3.5,5,5.75,5,5.25,3,2.75,4,7.0,8,8.25,2,4.75,6
28,0,170,0.0,0,3.25,3,10.0,0,6.5,6,9.25,3,6.5,7,5.0,0
18,0,136,10.0,0,2.0,8,0.5,2,7.5,1,10.0,0,9.5,2,10.0,0
39,1,137,2.75,7,7.25,8,4.75,9,6.5,4,7.5,8,6.25,8,3.25,7
49,0,138,6.75,1,4.5,4,6.25,3,5.75,4,5.5,4,8.25,2,5.25,1
56,1,240,5.0,8,6.25,6,6.0,10,5.0,8,5.75,8,9.0,2,6.75,9
18,1,139,5.0,6,4.25,5,4.25,7,3.25,4,6.0,5,5.0,5,4.75,4
51,1,241,6.25,2,3.75,4,6.5,4,5.25,5,4.0,9,4.25,7,3.25,7
47,0,241,4.25,4,4.75,5,3.75,6,6.5,5,5.5,4,6.25,5,3.25,6
15,0,89,4.0,7,3.75,9,9.25,3,8.75,4,7.5,10,5.5,9,6.25,10
41,0,66,5.0,10,0.5,2,2.5,10,5.0,10,7.5,10,7.5,9,0.0,0
15,0,90,3.75,5,5.25,6,7.25,7,5.75,3,6.75,7,6.75,6,4.5,9
40,1,140,2.75,7,4.75,4,10.0,0,8.5,2,9.5,2,8.5,3,4.0,8
26,0,243,5.5,7,5.0,5,4.5,5,6.25,6,5.75,6,7.25,5,2.25,4
28,1,244,6.0,4,6.0,5,8.25,2,5.5,3,6.0,6,6.5,6,6.0,6
28,0,211,2.5,7,9.5,1,5.25,9,7.75,2,5.75,8,10.0,0,0.75,2
23,1,141,5.5,5,6.25,8,4.25,7,6.0,6,2.5,6,7.0,6,4.75,6
26,0,142,5.5,8,3.75,3,5.75,6,6.75,5,5.25,5,7.75,3,3.5,3
69,1,143,3.5,6,5.75,5,5.0,0,7.5,7,7.0,5,10.0,0,7.0,5
41,0,245,6.25,4,8.0,3,3.25,8,4.0,7,7.75,1,7.75,8,1.5,3
50,0,212,3.5,6,2.25,4,5.5,9,8.0,0,3.5,7,10.0,0,3.75,7
35,1,246,5.25,10,2.75,8,4.75,10,8.0,4,6.0,8,6.5,7,6.75,7
42,0,247,3.75,2,3.0,7,5.75,6,6.0,8,8.75,2,5.0,8,5.25,3
20,0,92,8.75,3,7.25,2,7.0,2,7.75,5,8.25,3,8.5,4,8.75,1
19,0,93,3.25,6,6.75,7,9.25,3,6.5,8,4.75,8,8.5,5,5.75,7
21,1,91,5.0,6,5.5,5,6.25,1,8.0,4,5.75,6,6.0,8,3.75,1
21,0,11,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0,5.0,0
41,0,248,0.0,0,7.75,2,10.0,0,8.5,5,10.0,0,10.0,0,5.0,10
39,1,144,6.25,7,4.75,7,5.75,10,3.75,6,1.5,3,8.75,3,0.75,3
43,1,249,3.25,2,3.75,4,8.25,1,6.5,1,5.5,3,6.25,4,6.0,3
22,0,1,2.0,2,6.0,9,8.25,4,7.25,5,6.25,10,7.0,8,3.75,1
31,0,1,5.5,7,5.0,5,6.25,7,5.25,7,8.25,3,4.25,7,2.0,6
19,1,250,2.25,1,1.5,1,7.5,4,7.5,1,7.0,0,6.5,4,5.75,3
63,1,213,2.5,10,5.0,10,5.0,10,5.0,10,7.5,10,5.0,10,5.5,10
22,1,1,5.5,8,4.5,5,5.0,8,6.5,6,6.5,6,5.75,7,6.0,6
38,1,214,4.0,0,5.25,4,7.0,7,6.5,5,3.5,7,4.5,4,5.25,6
41,0,145,5.25,9,6.5,5,9.25,1,4.75,7,9.75,1,5.25,8,8.0,8
19,0,252,4.5,5,5.0,5,7.25,2,4.75,5,6.25,2,7.0,2,5.5,7
19,1,251,3.5,5,2.5,6,6.0,3,6.75,2,5.25,8,6.0,6,4.5,8
50,1,2,7.5,7,6.5,3,5.75,10,5.5,5,9.25,3,3.5,6,5.0,0
45,1,2,4.0,5,5.5,8,5.75,8,7.25,5,8.0,5,8.0,5,5.0,8
28,1,215,7.0,8,6.75,5,4.5,4,7.5,1,7.25,7,6.5,4,5.25,7
28,1,214,5.25,5,5.25,1,5.0,0,6.25,7,6.5,8,7.5,4,5.0,5
47,1,2,5.5,5,5.25,6,4.75,5,5.5,4,6.75,5,6.75,4,6.25,5
19,1,147,4.25,3,9.25,2,6.5,6,7.25,7,2.25,4,7.75,6,5.5,7
19,1,146,7.0,7,8.0,2,6.25,4,7.75,4,3.0,7,8.75,2,3.25,8
32,0,148,5.0,8,5.0,7,5.0,0,5.75,6,6.0,4,8.0,4,7.5,5
34,1,3,4.5,4,4.0,2,4.25,4,6.75,3,8.0,6,5.75,4,6.0,7
27,1,4,5.25,4,3.5,5,7.75,1,5.25,4,7.75,1,7.25,5,5.75,7
35,1,149,0.0,0,3.75,4,6.75,5,4.75,6,6.5,5,5.25,8,4.5,10
23,1,4,5.25,8,4.25,6,5.75,7,4.5,4,7.0,6,6.0,4,7.25,9
27,0,4,7.75,5,6.25,2,4.75,3,6.5,4,6.25,7,7.75,2,4.75,8
24,1,4,8.0,6,4.5,6,8.75,3,6.0,4,10.0,0,9.0,3,3.5,7
30,1,4,4.0,7,6.25,6,6.25,8,8.75,2,6.5,5,6.5,7,6.0,7
28,1,5,5.5,5,4.5,3,5.0,6,7.25,1,7.5,2,7.0,7,4.0,9
19,1,5,3.5,4,5.0,4,8.75,1,7.5,3,7.5,8,6.75,2,3.25,6
29,1,5,5.0,6,3.25,7,7.0,8,5.0,6,5.75,9,6.0,7,5.0,6
26,1,6,5.0,8,6.25,4,2.5,1,4.75,8,8.0,6,8.0,7,5.25,10
29,0,7,1.75,1,2.0,2,1.25,2,6.5,6,7.0,7,4.5,6,2.75,7
57,1,6,4.0,6,2.25,3,8.0,3,6.5,3,8.75,5,8.5,4,2.0,6
41,1,8,3.25,3,3.25,4,4.25,6,7.0,4,7.75,3,7.5,4,7.25,2
31,1,6,3.75,6,4.0,8,6.75,7,5.0,6,10.0,0,6.5,6,1.75,7
34,1,7,1.5,1,7.75,3,9.5,1,7.5,5,9.25,1,8.75,4,6.0,9
35,1,9,4.25,7,5.0,7,7.0,5,6.5,6,6.0,6,7.5,3,3.25,7
34,0,7,5.0,7,7.0,5,5.75,6,4.75,7,3.5,5,7.25,7,2.75,8
30,1,10,3.5,6,4.5,5,6.5,4,8.0,3,8.5,1,4.25,6,3.0,6
29,1,8,2.5,10,0.0,0,10.0,0,7.25,1,10.0,0,8.0,4,2.5,10
22,1,8,5.75,6,7.0,6,5.25,7,1.5,2,5.75,6,7.25,5,2.5,8
20,0,9,6.25,4,5.5,1,9.0,0,4.75,6,7.0,0,7.0,7,5.0,4
48,1,11,4.25,10,8.25,4,8.25,3,8.0,4,8.75,5,7.25,4,4.75,10
34,1,9,10.0,0,4.25,10,5.0,4,3.25,7,5.5,8,7.0,3,5.0,7
35,0,10,6.5,5,3.25,4,6.25,5,4.0,6,2.0,2,6.75,5,7.25,7
38,1,12,2.5,3,6.0,6,8.75,3,6.0,6,6.75,10,6.0,9,0.75,3
60,1,10,1.75,2,1.75,1,8.25,1,3.75,6,9.5,1,4.75,7,2.5,2
31,1,108,4.75,7,5.0,7,3.0,0,6.75,7,4.75,10,7.5,6,0.0,0
27,1,109,6.25,6,3.25,5,6.5,1,6.0,4,9.5,1,6.75,6,4.75,9
